post_title,post_excerpt,post_content,post_status,regular_price,sale_price,stock_status,stock,manage_stock,weight,Images,tax:product_type,tax:product_cat,tax:product_tag
Cable solar LEADER cable 4 mm negro con RETIE,,,bin,4641.714,,,,yes,,,simple,Conductores,
Cable solar LEADER cable 4 mm rojo con RETIE,,,bin,4641.714,,,,yes,,,simple,Conductores,
Cable solar LEADER cable 6 mm negro con RETIE,,,bin,6526.674,,,,yes,,,simple,Conductores,
Cable solar LEADER cable 6 mm rojo con RETIE,,,bin,6526.674,,,,yes,,,simple,Conductores,
Cable solar LEADER cable 10 mm negro con RETIE,,,bin,12305.909,,,,yes,,,simple,Conductores,
Cable solar LEADER cable 10 mm rojo con RETIE,,,bin,12305.909,,,,yes,,,simple,Conductores,
KIT PONCHADORA MC4,,,bin,436158.8,,,,yes,,,simple,Herramientas,
Par de Conectores MC4 1000W NORMAL (+/-),,,bin,5236,,,,yes,,,simple,Protecciones y Accesorios,
Par de Conectores MC4 1500W NORMAL (+/-),,,bin,5497.8,,,,yes,,,simple,Protecciones y Accesorios,
Par de Conectores MC4 para combiner (+/-),,,bin,5628.7,,,,yes,,,simple,Protecciones y Accesorios,
Par de Conectores MC4-Y Flexible (+/-),,,bin,17933.3,,,,yes,,,simple,Protecciones y Accesorios,
Par de Conectores MC4-Y Rígido (+/-),,,bin,24871,,,,yes,,,simple,Protecciones y Accesorios,
Par de Conectores MC4-Y 3 a 1flexible (+/-),,,bin,35801.15,,,,yes,,,simple,Protecciones y Accesorios,
Par de Conectores MC4-Y 3 a 1rígido (+/-),,,bin,44440.55,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 1P (250V) 16A,,,bin,30842.658,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 1P (250V) 20A,,,bin,30842.658,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 1P (250V) 25A,,,bin,30842.658,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 1P (250V) 32A,,,bin,30842.658,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 1P (250V) 40A,,,bin,30842.658,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 1P (250V) 50A,,,bin,30842.658,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 1P (250V) 63A,,,bin,30842.658,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (500V) 10A,,,bin,61523,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (500V) 16A,,,bin,60083.1,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (500V) 20A,,,bin,60083.1,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (500V) 25A,,,bin,60083.1,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (500V) 32A,,,bin,60083.1,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (500V) 40A,,,bin,60083.1,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (500V) 50A,,,bin,60083.1,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (500V) 63A,,,bin,60083.1,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 3P (750V) 16A,,,bin,95557,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 3P (750V) 20A,,,bin,90321,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 3P (750V) 25A,,,bin,90321,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 3P (750V) 32A,,,bin,90321,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 3P (750V) 40A,,,bin,95557,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 3P (750V) 50A,,,bin,95557,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 3P (750V) 63A,,,bin,95557,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 4P (1000V) 16A,,,bin,157080,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 4P (1000V) 20A,,,bin,157080,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 4P (1000V) 25A,,,bin,157080,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 4P (1000V) 32A,,,bin,157080,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 4P (1000V) 40A,,,bin,157080,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 4P (1000V) 50A,,,bin,157080,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (600V) 16A CERT. UL,,,bin,61523,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (600V) 20A CERT. UL,,,bin,139415.045,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (600V) 25A CERT. UL,,,bin,147982.45,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (600V) 80A CERT. UL,,,bin,176800.085,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 1P (80V) 63A,,,bin,26481.07,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 1P (80V) 80A,,,bin,54519.85,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 1P (80V) 100A,,,bin,58905,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 1P (80V) 125A,,,bin,58905,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (160V) 63A,,,bin,52360,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (160V) 80A,,,bin,111265,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (160V) 100A,,,bin,111265,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Breaker PROJOY 2P (160V) 125A,,,bin,111265,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Moulded Breaker PROJOY 2P (500V) 125AH,,,bin,451735.9,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Moulded Breaker PROJOY 2P (500V) 160Ah,,,bin,451735.9,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Moulded Breaker PROJOY 2P (500V) 200AH,,,bin,467313,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Moulded Breaker PROJOY 2P (500V) 250AH,,,bin,467313,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Moulded Breaker PROJOY 2P (1000V) 320AH,,,bin,529621.4,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Moulded Breaker PROJOY 2P (1000V) 400AH,,,bin,909755,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Moulded Breaker PROJOY 2P (1000V) 630AH,,,bin,1210825,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Moulded Breaker PROJOY 2P (1000V) 800AH,,,bin,1642795,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Moulded Breaker PROJOY 2P (500V) 160Ah IP66,,,bin,623084,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Moulded Breaker PROJOY 2P (500V) 200AH IP66,,,bin,654238.2,,,,yes,,,simple,Protecciones y Accesorios,
Solar DC Moulded Breaker PROJOY 2P (500V) 250AH IP66,,,bin,467313,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 1P (230V/440V) 6A,,,bin,22383.9,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 1P (230V/440V) 10A,,,bin,22383.9,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 1P (230V/440V) 16A,,,bin,22383.9,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 1P (230V/440V) 20A,,,bin,22383.9,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 1P (230V/440V) 32A,,,bin,22383.9,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 1P (230V/440V) 40A,,,bin,22383.9,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 1P (230V/440V) 50A,,,bin,22383.9,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 1P (230V/440V) 63A,,,bin,22383.9,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 2P (230V/440V) 16A,,,bin,44113.3,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 2P (230V/440V) 20A,,,bin,44113.3,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 2P (230V/440V) 25A,,,bin,44113.3,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 2P (230V/440V) 32A,,,bin,44113.3,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 2P (230V/440V) 40A,,,bin,44113.3,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 2P (230V/440V) 50A,,,bin,44113.3,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 2P (230V/440V) 63A,,,bin,44113.3,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 3P (230V/440V) 16A,,,bin,60809.595,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 3P (230V/440V) 20A,,,bin,60809.595,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 3P (230V/440V) 32A,,,bin,60809.595,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 3P (230V/440V) 40A,,,bin,60809.595,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 3P (230V/440V) 50A,,,bin,60809.595,,,,yes,,,simple,Protecciones y Accesorios,
AC Breaker PROJOY 3P (230V/440V) 63A,,,bin,60809.595,,,,yes,,,simple,Protecciones y Accesorios,
FUSIBLE 10A MOREDAY,,,bin,8567.405,,,,yes,,,simple,Protecciones y Accesorios,
FUSIBLE 15A MOREDAY,,,bin,8567.405,,,,yes,,,simple,Protecciones y Accesorios,
FUSIBLE 20A MOREDAY,,,bin,8567.405,,,,yes,,,simple,Protecciones y Accesorios,
FUSIBLE 25A MOREDAY,,,bin,8567.405,,,,yes,,,simple,Protecciones y Accesorios,
FUSIBLE 32A MOREDAY,,,bin,8567.405,,,,yes,,,simple,Protecciones y Accesorios,
BASE PORTAFUSIBLE 1000VDC 1 POLO 10X38,,,bin,16355.955,,,,yes,,,simple,Protecciones y Accesorios,
BASE PORTAFUSIBLE + FUSIBLE 20A 1500VDC 1 POLO 10X85,,,bin,31154.2,,,,yes,,,simple,Protecciones y Accesorios,
DPS 2P 600VDC PROJOY TIPO 2 TUV,,,bin,115192,,,,yes,,,simple,Protecciones y Accesorios,
DPS 2P 600VDC PROJOY TIPO 2 TUV T1+T2,,,bin,196350,,,,yes,,,simple,Protecciones y Accesorios,
DPS 3P 1000VDC PROJOY TIPO 2 TUV,,,bin,210290.85,,,,yes,,,simple,Protecciones y Accesorios,
DPS 3P 1000VDC PROJOY TIPO 2 TUV T1+T2,,,bin,303753.45,,,,yes,,,simple,Protecciones y Accesorios,
DPS 2P 600VDC MOREDAY TIPO 2,,,bin,105924.28,,,,yes,,,simple,Protecciones y Accesorios,
DPS 2P 600VDC MOREDAY TIPO 1+2,,,bin,196350,,,,yes,,,simple,Protecciones y Accesorios,
DPS 3P 1000VDC MOREDAY TIPO 2,,,bin,179136.65,,,,yes,,,simple,Protecciones y Accesorios,
DPS 3P 1000VDC MOREDAY TIPO 1+2,,,bin,225867.95,,,,yes,,,simple,Protecciones y Accesorios,
DPS 3P 1500VDC MOREDAY TIPO 2,,,bin,218079.4,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC PROJOY 2P 275VAC TIPO 2 con RETIE,,,bin,138636.19,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC PROJOY 2P 275VAC TIPO 1+2 con RETIE,,,bin,194713.75,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC PROJOY 3P 275VAC TIPO 2 con RETIE,,,bin,171348.1,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC PROJOY 3P 275VAC TIPO 1+2 con RETIE,,,bin,288176.35,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC PROJOY 4P 275VAC TIPO 2 con RETIE,,,bin,257022.15,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC PROJOY 4P 275VAC TIPO 1+2 con RETIE,,,bin,381638.95,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC PROJOY 3P 440VAC TIPO 2 con RETIE,,,bin,311542,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC PROJOY 4P 440VAC TIPO 2 con RETIE,,,bin,412793.15,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC PROJOY 2P 440VAC TIPO 1+2 con RETIE,,,bin,264810.7,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC PROJOY 3P 440VAC TIPO 1+2 con RETIE,,,bin,405004.6,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC PROJOY 4P 440VAC TIPO 1+2 con RETIE,,,bin,537409.95,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC MOREDAY 1P 130VAC TIPO 2 20/40KA con RETIE,,,bin,85674.05,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC MOREDAY 2P 275VAC TIPO 2 20/40KA con RETIE,,,bin,124355,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC MOREDAY 2P 240VAC TIPO 2 20/40KA con RETIE,,,bin,124355,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC MOREDAY 3P 240VAC TIPO 2 20/40KA con RETIE,,,bin,157080,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC MOREDAY 3P 480VAC TIPO 2 20/40KA con RETIE,,,bin,222530,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC MOREDAY 3P 480VAC TIPO 2 30/60KA con RETIE,,,bin,261800,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC MOREDAY 4P 480VAC TIPO 2 20/40KA con RETIE,,,bin,399245,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC MOREDAY 2P 275VAC TIPO 1+2 20/40KA con RETIE,,,bin,218079.4,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC MOREDAY 2P 240VAC TIPO 1+2 40/80KA con RETIE,,,bin,264810.7,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC MOREDAY 3P 275VAC TIPO 1+2 20/40KA con RETIE,,,bin,342696.2,,,,yes,,,simple,Protecciones y Accesorios,
DPS AC MOREDAY 3P 240VAC TIPO 1+2 30/60KA con RETIE,,,bin,445060,,,,yes,,,simple,Protecciones y Accesorios,
TABLERO 4 PUESTOS RIEL DIN MOREDAY IP65,,,bin,55161.26,,,,yes,,,simple,Protecciones y Accesorios,
TABLERO 6 PUESTOS RIEL DIN MOREDAY IP65,,,bin,92653.638,,,,yes,,,simple,Protecciones y Accesorios,
TABLERO 8 PUESTOS RIEL DIN MOREDAY IP65,,,bin,111265,,,,yes,,,simple,Protecciones y Accesorios,
TABLERO 12 PUESTOS RIEL DIN MOREDAY IP65,,,bin,152655.58,,,,yes,,,simple,Protecciones y Accesorios,
TABLERO 18 PUESTOS RIEL DIN MOREDAY IP65,,,bin,202895,,,,yes,,,simple,Protecciones y Accesorios,
TABLERO 24 PUESTOS RIEL DIN MOREDAY IP65,,,bin,320705,,,,yes,,,simple,Protecciones y Accesorios,
BATERIA GEL 12V 150AH,,,bin,1168282.5,,,,yes,,,simple,	Baterías,
BATERIA GEL 12V 200AH,,,bin,1479170,,,,yes,,,simple,	Baterías,
BATERIA GEL 12V 250AH,,,bin,1858780,,,,yes,,,simple,	Baterías,
Batería SRP LITIO Monobloque 12V 200AH,,,bin,2398873.4,,,,yes,,,simple,	Baterías,
Batería SRP LITIO Monobloque 24V 100AH,,,bin,2398873.4,,,,yes,,,simple,	Baterías,
Batería SRP LITIO Monobloque 24V 200AH,,,bin,4641975.8,,,,yes,,,simple,	Baterías,
"Batería SUNRAY LITIO Monobloque 12,8V 150AH",,,bin,2258679.5,,,,yes,,,simple,	Baterías,
"Batería SUNRAY LITIO Monobloque 25,6V 120AH",,,bin,3037534.5,,,,yes,,,simple,Baterías,
"Batería SUNRAY LITIO Monobloque 25,6V 150AH",,,bin,3660618.5,,,,yes,,,simple,Baterías,
"BATERÍA SUNRAY LITIO RACK 51,2V 100AH SIN PANTALLA",,,bin,5716795.7,,,,yes,,,simple,Baterías,
"BATERÍA SUNRAY LITIO RACK 51,2V 100AH CON PANTALLA LCD",,,bin,5888143.8,,,,yes,,,simple,Baterías,
Estructura para montaje sobre muro,,,bin,311542,,,,yes,,,simple,Estructura,
Estructura para montaje sobre piso,,,bin,311542,,,,yes,,,simple,Estructura,
"BATERÍA SUNRAY SRP LITIO WALL 51,2V 100AH",,,bin,6386611,,,,yes,,,simple,Baterías,
BATERÍA SUNRAY SRP LITIO WALL 48V 200AH,,,bin,11838596,,,,yes,,,simple,Baterías,
Controlador SUNRAY MPPT 40A 12/24/48VDC,,,bin,589050,,,,yes,,,simple,Inversor,
Controlador SUNRAY MPPT 50A 12/24/48VDC,,,bin,589050,,,,yes,,,simple,Inversor,
Controlador SUNRAY MPPT 60A 12/24/48VDC,,,bin,719950,,,,yes,,,simple,Inversor,
Controlador SUNRAY MPPT 80A 12/24/48VDC + RS485,,,bin,929390,,,,yes,,,simple,Inversor,
Controlador SUNRAY MPPT 100A 12/24/48VDC + RS485,,,bin,1112650,,,,yes,,,simple,Inversor,
Inversor SUNRAY 500W/120VAC/12VDC + RS485 (Recibe carga AC),,,bin,536690,,,,yes,,,simple,Inversor,
Inversor SUNRAY 1000W/120VAC/12VDC + RS485 (Recibe carga AC),,,bin,667590,,,,yes,,,simple,Inversor,
Inversor SUNRAY 1000W/120VAC/24VDC + RS485 (Recibe carga AC),,,bin,628320,,,,yes,,,simple,Inversor,
Inversor SUNRAY 1500W/120VAC/24VDC + RS485 (Recibe carga AC),,,bin,955570,,,,yes,,,simple,Inversor,
Inversor Cargador AC/DC SUNRAY 1000W/120VAC/12VDC/MPPT 40A + RS485,,,bin,1282820,,,,yes,,,simple,Inversor,
Inversor Cargador AC/DC SUNRAY 1000W/120VAC/24VDC/MPPT 40A + RS485,,,bin,1282820,,,,yes,,,simple,Inversor,
Inversor Cargador AC/DC SUNRAY 1500W/120VAC/12VDC/MPPT 40A + RS484,,,bin,1413720,,,,yes,,,simple,Inversor,
Inversor Cargador AC/DC SUNRAY 1500W/120VAC/24VDC/MPPT 40A + RS485,,,bin,1413720,,,,yes,,,simple,Inversor,
Inversor cargador SUNRAY 2000W/120VAC/24VDC/MPPT 60A+RS485 Single Phase,,,bin,1898050,,,,yes,,,simple,Inversor,
Inversor cargador SUNRAY 3000W/120VAC/24VDC/MPPT 60A+RS485 Single Phase,,,bin,2028950,,,,yes,,,simple,Inversor,
Inversor cargador SUNRAY 3000W/120VAC/48VDC/MPPT 60A+RS485 Single Phase,,,bin,2159850,,,,yes,,,simple,Inversor,
Inversor cargador SUNRAY 4000W/120VAC/24VDC/MPPT 80A+RS485 Single Phase,,,bin,3272500,,,,yes,,,simple,Inversor,
Inversor cargador SUNRAY 4000W/120VAC/48VDC/MPPT 80A+RS485 Single Phase,,,bin,3272500,,,,yes,,,simple,Inversor,
Inversor cargador SUNRAY 6000W/120VAC-240VAC/48VDC/MPPT 80A+RS485 Siplit Phase,,,bin,3599750,,,,yes,,,simple,Inversor,
Inversor cargador SUNRAY 8000W/120VAC-240VAC/48VDC/MPPT 120A + RS485 Siplit Phase,,,bin,6283200,,,,yes,,,simple,Inversor,
Inversor cargador SUNRAY 10000W/120VAC-240VAC/48VDC/MPPT 120A + RS485 Siplit Phase,,,bin,7068600,,,,yes,,,simple,Inversor,
Inversor cargador SUNRAY 12000W/120VAC-240VAC/48VDC/MPPT 150A + RS485 Siplit Phase,,,bin,8495410,,,,yes,,,simple,Inversor,
ANTENA WIFI SUNRAY PARA MONITOREO,,,bin,314160,,,,yes,,,simple,Inversor,
INVERSOR SUNRAY HÍBRIDO SPLIT PHASE 6K,,,bin,12298055,,,,yes,,,simple,Inversor,
INVERSOR SUNRAY HÍBRIDO SPLIT PHASE 10K,,,bin,12932920,,,,yes,,,simple,Inversor,
MÓDULO WIFI SUNRAY PARA MONITOREO,,,bin,183260,,,,yes,,,simple,Inversor,
SMART METER SUNRAY,,,bin,549780,,,,yes,,,simple,Inversor,
INVERSOR SUNRAY R6 HÍBRIDO SPLIT PHASE 6K (Incluye WIFI - CTS),,,bin,11519200,,,,yes,,,simple,Inversor,
INVERSOR SUNRAY R10 HÍBRIDO SPLIT PHASE 10K (Incluye WIFI - CTS),,,bin,11767910,,,,yes,,,simple,Inversor,
INVERSOR SUNRAY R16 HÍBRIDO SPLIT PHASE 16K (Incluye WIFI - CTS),,,bin,16886100,,,,yes,,,simple,Inversor,
INVERSOR ON GRID FOX MONOFÁSICO S3000 G2 (1MPPT) 3K,,,bin,1701700,,,,yes,,,simple,Inversor,
"INVERSOR ON GRID FOX MONOFÁSICO F4600 G2 (2MPPT) 4,6K",,,bin,2395470,,,,yes,,,simple,Inversor,
INVERSOR ON GRID FOX MONOFÁSICO F6000 G2 (2MPPT) 6K,,,bin,2591820,,,,yes,,,simple,Inversor,
INVERSOR ON GRID FOX MONOFÁSICO G8 (3MPPT) 8K,,,bin,3966270,,,,yes,,,simple,Inversor,
"INVERSOR ON GRID FOX MONOFÁSICO G10,5 (3MPPT) 10,5K",,,bin,4437510,,,,yes,,,simple,Inversor,
INVERSOR ON GRID FOX TRIFÁSICO VL15 (3MPPT) 15K,,,bin,8626310,,,,yes,,,simple,Inversor,
"INVERSOR ON GRID FOX TRIFÁSICO VL37,5 (3MPPT) 37,5K",,,bin,11898810,,,,yes,,,simple,Inversor,
L Feet 03 H80 EPR-LF03,,,bin,6230.84,,,,yes,,,simple,Estructura,
Tornillo de fijación para L en teja corrugada EPR-LF03-HB,,,bin,24923.36,,,,yes,,,simple,Estructura,
Mid Clamp 35mm EPR-MC01,,,bin,5389.153,,,,yes,,,simple,Estructura,
End Clamp 30mm EPR-EC01,,,bin,5063.212,,,,yes,,,simple,Estructura,
End Clamp 35mm EPR-EC01,,,bin,4984.672,,,,yes,,,simple,Estructura,
Triangulo para placa L1100 EPR-TR-L1100,,,bin,101251.15,,,,yes,,,simple,Estructura,
Triangulo para placa L1400 EPR-TR-L1400,,,bin,116828.25,,,,yes,,,simple,Estructura,
Contrapeso para estructutura en placa,,,bin,54519.85,,,,yes,,,simple,Estructura,
Rail Clamp 03 EPR-RC03,,,bin,6230.84,,,,yes,,,simple,Estructura,
Gancho para teja española (incluye 3 tornillos) EPR-TRH-07,,,bin,25526.809,,,,yes,,,simple,Estructura,
Riel Conector L150 Aluminio EPR-R19-C,,,bin,6542.382,,,,yes,,,simple,Estructura,
Ground clip 01 EPR-GC01,,,bin,1324.708,,,,yes,,,simple,Estructura,
Ground lug EPR-GL,,,bin,6075.069,,,,yes,,,simple,Estructura,
Tornillo fijación Madera EPR-LF03-HB,,,bin,19635,,,,yes,,,simple,Estructura,
Accesorio Standing Seam,,,bin,18692.52,,,,yes,,,simple,Estructura,
Mini Riel EPR-MRH03,,,bin,15545.684,,,,yes,,,simple,Estructura,
Riel 2370*25*34 mm,,,bin,74770.08,,,,yes,,,simple,Estructura,
Riel 3570*25*34 mm,,,bin,98135.73,,,,yes,,,simple,Estructura,
Riel 4700*25*34 mm,,,bin,121501.38,,,,yes,,,simple,Estructura,
Carport para 2 vehículos según diseño,,,bin,11916481.5,,,,yes,,,simple,Mobilidad,
Carport para 3 vehículos según diseño,,,bin,16511726,,,,yes,,,simple,Mobilidad,
CALENTADOR HEAT PIPE 300L,,,bin,7632779,,,,yes,,,simple,Paneles solares,
CALENTADOR HEAT PIPE 200L,,,bin,5607756,,,,yes,,,simple,Paneles solares,
CALENTADOR HEAT PIPE 150L,,,bin,4314856.7,,,,yes,,,simple,Paneles solares,
CONTROLADOR TK-7Y,,,bin,327119.1,,,,yes,,,simple,Inversor,
Colector solar de Gravedad de 30 tubos,,,bin,2492336,,,,yes,,,simple,Paneles solares,
"Cargador EV portátil 3,5kW 110-240V/16A IP65 GBT",,,bin,929390,,,,yes,,,simple,Mobilidad,
"Cargador EV portátil 3,5kW 110-240V/16A IP65 Tipo 1",,,bin,1073380,,,,yes,,,simple,Mobilidad,
"Cargador EV portátil 3,5kW 110-240V/16A IP65 Tipo 2",,,bin,1027565,,,,yes,,,simple,Mobilidad,
Cargador EV portátil 7kW 110-240V/32A IP65 GBT,,,bin,1073380,,,,yes,,,simple,Mobilidad,
Cargador EV portátil 7kW 110-240V/32A IP65 Tipo 1,,,bin,1250749.5,,,,yes,,,simple,Mobilidad,
Cargador EV portátil 7kW 110-240V/32A IP65 Tipo 2,,,bin,1230460,,,,yes,,,simple,Mobilidad,
Cargador EV Wallbox 7kW 110-240V/32A IP55 GBT,,,bin,2028950,,,,yes,,,simple,Mobilidad,
Cargador EV Wallbox 7kW 110-240V/32A IP55 Tipo 1,,,bin,2552550,,,,yes,,,simple,Mobilidad,
Cargador EV Wallbox 7kW 110-240V/32A IP55 Tipo 2,,,bin,2453589.6,,,,yes,,,simple,Mobilidad,
Cargador EV Wallbox 7kW ABS 110-240V/32A IP54 GBT,,,bin,1754060,,,,yes,,,simple,Mobilidad,
Cargador EV Wallbox 7kW ABS 110-240V/32A IP54 T2,,,bin,2297295,,,,yes,,,simple,Mobilidad,
Adaptador GB-T to type 1,,,bin,298452,,,,yes,,,simple,Mobilidad,
Adaptador GB-T to type 2,,,bin,261800,,,,yes,,,simple,Mobilidad,
Adaptador Type 2 to type 1,,,bin,261800,,,,yes,,,simple,Mobilidad,
Adaptador Type 2 to GBT,,,bin,281435,,,,yes,,,simple,Mobilidad,
Adaptador Type 1 to type 2,,,bin,261800,,,,yes,,,simple,Mobilidad,
Adaptador Type 1 to GBT,,,bin,261800,,,,yes,,,simple,Mobilidad,
Cable Adaptador Type 2 to type 1,,,bin,415607.5,,,,yes,,,simple,Mobilidad,
Cable AdaptadorType 2 to GBT,,,bin,431316.809,,,,yes,,,simple,Mobilidad,
Cable Adaptador Type 1 to type 2,,,bin,415607.5,,,,yes,,,simple,Mobilidad,
Cable adaptador Type 1 to GBT,,,bin,431316.809,,,,yes,,,simple,Mobilidad,
Adaptador DC CCS1 to CCS2,,,bin,755947.5,,,,yes,,,simple,Mobilidad,